行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,2.73,0,61.79,0,0,0,0,0,0,1,0,0,25.060524,121.53755,11408
1,0,0,0,0,0,0,0,0,0,0,0,2.09,0,75.4,0,0,0,0,0,0,0,1,0,25.070041,121.533885,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.28,0,104.58,0,0,0,0,0,0,1,0,0,25.062847,121.524589,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,58.42,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11408
1,0,0,0,0,0,0,0,0,0,0,0,12.18,0,65.59,0,0,0,0,0,1,0,0,0,25.061518,121.53451,11408
1,0,0,0,0,0,0,0,0,0,0,0,3.16,0,94.33,0,0,0,0,0,0,1,0,0,25.065311,121.537058,11408
1,0,0,0,0,0,0,0,0,0,0,0,5.18,0,91.29,0,0,0,0,0,0,0,1,0,25.06624,121.529754,11408
1,0,0,0,0,0,0,0,0,0,0,0,6.01,0,73.29,0,0,0,0,0,0,0,1,0,25.064265,121.523767,11408
1,0,0,0,0,0,0,0,0,0,0,0,26.77,0,175.56,0,0,0,0,0,0,1,0,0,25.05908,121.533448,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.36,0,70.98,0,0,0,0,0,1,0,0,0,25.059979,121.53817,11408
1,0,0,0,0,0,0,0,0,0,0,0,8.09,0,153.68,0,0,0,0,0,1,0,0,0,25.058902,121.539077,11408
1,0,0,0,0,0,0,0,0,0,0,0,8.83,0,57.1,0,0,0,0,0,1,0,0,0,25.065469,121.534279,11408
1,0,0,0,0,0,0,0,0,0,0,0,12.17,0,74.47,0,0,0,0,0,0,0,1,0,25.058584,121.534507,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.77,0,71.2,0,0,0,0,0,0,1,0,0,25.063664,121.528022,11408
1,0,0,0,0,0,0,0,0,0,0,0,9.2,0,79.01,0,0,0,0,0,0,0,1,0,25.056306,121.530282,11408
1,0,0,0,0,0,0,0,0,0,0,0,9.37,0,104.13,0,0,0,0,0,0,0,1,0,25.055902,121.532057,11408
1,0,0,0,0,0,0,0,0,0,0,0,2.06,0,61.36,0,0,0,0,0,0,0,1,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,8.29,0,62.21,0,0,0,0,0,1,0,0,0,25.065497,121.538895,11408
1,0,0,0,0,0,0,0,0,0,0,0,2.06,0,94.74,0,0,0,0,0,0,0,1,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.21,0,59.27,0,0,0,0,0,0,0,1,0,25.066727,121.526918,11408
