物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS57747,松機民權臨路金店,松山區民權東路三段,OPEN,127坪,1-2/12樓,120年,店面,113萬
WS60497,雙敦慶城角窗店面,松山區南京東路三段,OPEN(1廳),155坪,1/7樓,148年,店面,140萬
ZS192821,松機捷運電梯三房四套廁所,松山區民族東路,3房(室)2廳4衛,178坪,2/7樓,172年,住宅,167萬
WS50088,巨蛋雙敦景觀樓中樓,松山區北寧路,1+1房2廳2衛,201坪,9-10/10樓,196年,住宅,190萬
WS60539,雙敦100巷邊間華廈,松山區敦化南路一段,3房(室)2廳2衛,222坪,4/7樓,217年,住宅,212萬
WS61171,介壽學區超值二代宅,松山區延壽街,5房(室)4廳3衛,242坪,2/7樓,238年,住宅,233萬
WS60606,西華民生東雙店面,松山區民生東路三段,2房(室)--廳2衛,264坪,1/7樓,257年,住商,87萬
WS62598,民生介壽國中電梯大3房,松山區民生東路五段,3房(室)2廳2衛,41坪,6/7樓,35年,住宅,25萬
ZS195683,南京興安高樓三房,松山區復興北路,3房(室)2廳2衛,68坪,7/14樓,61年,住宅,56萬
WS65492,文華苑旁靜巷美妝華廈,松山區興安街,3房(室)2廳2衛,90坪,4/7樓,84年,住宅,80萬
YS191798,近大巨蛋住辦大戶可掛招牌,松山區光復北路,5廳1衛,114坪,2/12樓,109年,住宅,101萬
WS61962,敦北民生熱鬧店面,松山區民生東路三段,--房(室)2廳1衛,137坪,1/7樓,132年,店面,126萬
WS62652,雙敦庭院壹樓,松山區光復南路,3房(室)2廳2衛,156坪,1/7樓,151年,住宅,148萬
WS62897,三民捷運基隆路商三店辦,松山區基隆路一段,OPEN,180坪,1/12樓,173年,店面,169萬
WS63837,保富通商Ａ辦,松山區復興北路,OPEN,204坪,13/15樓,199年,辦公,193萬
ZS197755,民生河畔小宅,松山區塔悠路,1房(室)1廳1衛,222坪,2/4樓,216年,住宅,212萬
ZS196090,南京三民三角窗金店,松山區寶清街,1房(室)1廳1衛,234坪,1/4樓,237年,店面,233萬
WS56779,民權大道上正店面,松山區民權東路五段,--房(室)1廳1衛,43坪,B1-1/7樓,36年,店面,26萬
WS56967,民權大道上正店面,松山區民權東路五段,--房(室)1廳1衛,43坪,B1-1/7樓,36年,店面,26萬
WS64427,松菸.大小巨蛋黃金地段可住辦,松山區八德路三段,1房(室)1廳1衛,74坪,6/12樓,70年,住商,63萬
WS64324,松菸.大小巨蛋黃金地段住辦,松山區八德路三段,1房(室)1廳1衛,74坪,6/12樓,70年,住商,63萬
WS69062,涵峰,松山區敦化北路,4房(室)2廳4衛,108坪,10/12樓,102年,住宅,93萬
WS68670,敦南世田介,松山區敦化南路一段,3房(室)2廳2衛,130坪,5/12樓,124年,住宅,119萬
WS70795,雙敦學區低總價美房,松山區敦化北路,1房(室)--廳1衛,151坪,4/6樓,145年,住宅,141萬
