物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS69056,後山埤捷運靜巷二房美寓,南港區玉成街,2房(室)1廳1衛,207坪,4/5樓,200年,住宅,233萬
ZS101855,後山埤增值壹樓,南港區中坡南路,OPEN,41坪,1/4樓,34年,店面,25萬
ZS123471,南港忠孝東無極金店,南港區忠孝東路六段,1廳2衛1室,69坪,1/16樓,63年,辦公,55萬
ZS159015,南港龍華住辦一樓,南港區忠孝東路六段,3房(室)2廳2衛,91坪,1/7樓,86年,住商,80萬
XS101950,軟體園區店面稀有釋出,南港區重陽路,--房(室)1廳1衛,114坪,1/7樓,108年,店面,103萬
ZS158132,忠孝東6段昆陽寬金店面,南港區忠孝東路六段,OPEN,136坪,1/5樓,130年,店面,127萬
ZS177002,華固奧之松庭園別墅,南港區重陽路,3+1房2廳2衛,158坪,1/9樓,153年,住宅,148萬
ZS158841,忠孝無極金店面,南港區忠孝東路六段,4房(室)1廳2衛,69坪,1/16樓,63年,店面,55萬
XS115900,日升月恆無雙精裝豪邸,南港區經貿二路,4房(室)2廳3衛,192坪,11/21樓,187年,住宅,181萬
XS116546,近忠孝東路稀有透天,南港區中南街,9房(室)2廳3衛,205坪,1-2/2樓,210年,住宅,203萬
XS117857,南港玉成段都更一樓,南港區忠孝東路六段,開放式,225坪,1/4樓,226年,住宅,223萬
WS21843,近南軟大地坪透天,南港區中南街,9房(室)2廳3衛,30坪,1-2/2樓,37年,住宅,26萬
ZS177317,後山埤捷運辦公,南港區忠孝東路五段,2房(室)1廳1衛,71坪,8/12樓,65年,辦公,56萬
ZS164347,正忠孝東路精品店面,南港區忠孝東路六段,4房(室)1廳2衛,97坪,1/16樓,91年,店面,82萬
XS109308,忠孝無極置產店面,南港區忠孝東路六段,1房(室)1廳2衛,97坪,1/16樓,91年,店面,107萬
WS31482,中研院收租透天,南港區福山街,6房(室)3廳3衛,121坪,1-2/2樓,123年,住宅,118萬
WS33684,世界明珠景觀大戶,南港區南港路二段,無隔間,148坪,25/27樓,143年,住宅,137萬
WS33660,世界明珠景觀戶I,南港區南港路二段,無隔間,162坪,25/27樓,143年,住宅,157萬
WS33655,世界明珠景觀戶II,南港區南港路二段,無隔間,174坪,25/27樓,143年,住宅,170萬
WS34645,捷運南港東方文華,南港區興華路,2室1廳2衛(含增建1室1衛),195坪,7/10樓,190年,住宅,183萬
WS30824,日升月恆高樓景觀四房,南港區經貿二路,4房(室)2廳3衛,219坪,11/21樓,213年,住宅,207萬
TS135037,近南港展覽館投資都更建地,南港區忠孝東路七段,19,19坪,19/19樓,19年,土地,25萬
XS128794,後山埤美寓,南港區玉成街,3房(室)2廳1衛,60坪,5/5樓,54年,住宅,46萬
XS127650,南港中研公寓一樓,南港區研究院路二段,2房(室)2廳2衛,74坪,1/4樓,78年,住宅,72萬
WS08600,後山埤站收租精品店面附車,南港區忠孝東路六段,1房(室)1廳2衛,107坪,1/16樓,101年,店面,93萬
WS38173,南港園區香朵2房坡車,南港區松河街,2房(室)2廳1衛,133坪,3/7樓,127年,住宅,120萬
WS26777,忠孝東路挑高精美黃金店面,南港區忠孝東路六段,4室1廳2衛(含加蓋3室),107坪,1/16樓,101年,住宅,143萬
XS129719,經貿招財金店面,南港區園區街,1室2廳2衛,170坪,1/10樓,163年,店面,158萬
WS64353,後山埤低總價亮麗3房,南港區福德街,3房(室)1廳2衛,182坪,3/4樓,184年,住宅,180萬
ZS190939,松車黃金店辦,南港區南港路三段,--房(室)1廳1衛,210坪,1/5樓,204年,店面,200萬
ZS193202,達欣東匯A6-10F,南港區經貿一路,2房(室)2廳2衛,228坪,10/10樓,223年,住宅,220萬
WS49094,華固高樓景觀三房+坡平車位,南港區重陽路,3房(室)2廳2衛,42坪,7/9樓,36年,住宅,25萬
ZS193199,達欣東匯2樓,南港區經貿一路,2房(室)2廳2衛,67坪,2/10樓,62年,住宅,55萬
ZS193201,達欣東匯庭院大戶A5-1F,南港區經貿一路,3房(室)2廳2衛,79坪,1/10樓,62年,住宅,76萬
WS48936,稀有邊間收租透天,南港區研究院路二段,6房(室)1廳4衛,93坪,1-2/2樓,97年,住宅,88萬
ZS192362,專任中研院二房美寓,南港區研究院路三段,2房(室)2廳1衛,121坪,3/4樓,77年,住宅,110萬
WS68697,南軟世界心高樓附三車,南港區重陽路,3室1廳2衛,144坪,10/12樓,138年,辦公,132萬
OS220878,世界心雅致高樓3平車,南港區重陽路,3房(室)2廳2衛,144坪,10/12樓,138年,辦公,132萬
YS194850,胡適國小4F頂家美寓,南港區合順街,3房(室)2廳1衛,168坪,4/5樓,171年,住宅,166萬
ZS198753,世界心毛胚辦公好規劃,南港區重陽路,開放式,195坪,7/12樓,138年,辦公,187萬
CS182953,南港花園社區溫馨3房,南港區福德街,3房(室)2廳1衛,214坪,16/19樓,209年,住宅,204萬
CS182932,南港世界心前棟高樓,南港區重陽路,開放式,40坪,10/12樓,34年,辦公,25萬
WS64228,南港國宅高樓景觀二房,南港區福德街,2房(室)2廳1衛,69坪,17/18樓,64年,住宅,55萬
MS154329,驚喜價永泰皇御,南港區經貿二路,--房(室)--廳--衛,93坪,6/14樓,87年,住宅,81萬
MS154311,永泰皇御南港之星,南港區經貿二路,--房(室)--廳--衛,93坪,7/14樓,87年,住宅,81萬
WS68453,南港車站1F+B1大空間,南港區興華路,開放式,126坪,B2-1/14樓,120年,辦公,115萬
WS65182,重陽重劃區精美三房,南港區松河街,3房(室)2廳2衛,147坪,4/9樓,143年,住宅,55萬
WS66343,南港公園公寓三房,南港區東新街,3房(室)2廳2衛,169坪,2/5樓,164年,住宅,158萬
