路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區延平北路四段,0,0,0,0,0,0,0,1,0,0,0,0,59.7,21.97,1860.0,0,2,2,1,0,1,3,2,2,1,1,0,0,0,0
台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,60.7,88.32,12000.0,0,8,3,4,0,1,4,1,4,4,0,0,0,0,1
台北市大同區歸綏街,0,0,0,0,0,0,0,1,0,0,0,0,13.6,39.33,4688.0,1,3,2,2,0,0,10,4,4,1,0,0,0,1,0
台北市大同區五原路,0,0,0,0,0,0,0,1,0,0,0,0,16.2,29.98,2588.0,1,3,1,1,0,1,14,4,4,1,0,1,0,0,0
台北市大同區敦煌路,0,0,0,0,0,0,0,1,0,0,0,0,43.4,34.47,1759.0,1,4,2,4,0,0,5,2,2,1,1,0,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,59.4,19.04,2660.0,1,3,1,1,0,1,4,1,1,1,1,0,0,0,0
台北市大同區華亭街,0,0,0,0,0,0,0,1,0,0,0,0,15.3,12.8,1450.0,0,1,1,1,0,1,11,2,2,1,0,0,1,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,12.0,74.92,7980.0,1,3,2,2,0,0,14,9,9,1,0,1,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,60.2,18.56,2280.0,0,4,2,4,0,0,3,1,1,1,1,0,0,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,47.3,9.51,798.0,0,1,1,1,0,0,14,12,12,1,0,1,0,0,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,55.8,22.73,1495.0,1,5,3,2,0,1,4,4,4,1,1,0,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,46.8,8.9,1058.0,0,2,1,1,0,0,11,9,9,1,0,1,0,0,0
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,52.9,26.25,4580.0,0,3,2,1,0,0,4,1,1,1,0,0,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,56.4,106.64,15888.0,1,3,3,3,0,0,4,1,4,4,1,0,0,0,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,29.1,7980.0,0,1,3,1,0,1,1,1,1,1,0,0,0,0,1
台北市大同區保安街,0,0,0,0,0,0,0,1,0,0,0,0,77.3,27.97,3980.0,0,4,3,2,0,1,2,1,2,2,0,0,0,0,1
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,9.0,63.83,5200.0,1,4,2,5,0,0,13,1,2,2,0,1,0,0,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,26.41,4088.0,0,3,2,2,0,0,1,1,1,1,0,0,0,0,1
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,15.9,19.62,1960.0,1,2,1,1,0,1,13,3,3,1,0,1,0,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,47.4,16.4,1250.0,1,1,1,1,0,0,14,13,13,1,0,1,0,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,68.9,35.17,6250.0,0,3,5,3,0,0,2,1,2,2,0,0,0,0,1
台北市大同區長安西路,0,0,0,0,0,0,0,1,0,0,0,0,49.5,11.0,1160.0,1,2,2,1,0,0,10,7,7,1,0,0,1,0,0
台北市大同區重慶北路一段,0,0,0,0,0,0,0,1,0,0,0,0,52.4,37.46,8688.0,0,4,1,5,0,0,5,1,5,5,0,0,0,0,1
台北市大同區重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,43.1,9.17,900.0,0,1,2,1,0,0,12,10,10,1,0,1,0,0,0
台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,47.5,30.39,1888.0,0,5,3,2,0,1,4,4,4,1,1,0,0,0,0
