路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區松德路,31.4年,大樓,建坪 115.06,主 + 陽69.6,5房2廳4衛1室(含加蓋1衛),19-20樓/23樓,"12,888",1
台北市信義區信義路五段,41.5年,公寓,建坪 23.03,主 + 陽22.37,3房2廳1衛,4樓/5樓,"1,650",0
台北市信義區林口街,53.0年,公寓,建坪 28.34,主 + 陽28.35,3房2廳1衛,4樓/4樓,"2,500",0
台北市信義區信義路六段,54.7年,公寓,建坪 23.09,主建物23.09,3房2廳1衛,1樓/4樓,"3,280",0
台北市信義區基隆路二段,29.1年,辦公/大樓,建坪 66.68,主 + 陽37.74,1廳1衛2室,5樓/21樓,"6,588",1
台北市信義區基隆路二段,34.4年,大樓,建坪 15.63,主 + 陽10.26,1房1廳1衛,10樓/12樓,"1,399",0
台北市信義區和平東路三段,53.3年,公寓,建坪 19.61,主 + 陽19.61,4房3廳2衛(含加蓋1房1廳1衛),4樓/4樓,"1,698",0
台北市信義區松仁路,33.8年,大樓,建坪 95.54,主 + 陽77.43,6房3廳2衛2室(含加蓋1室),9-10樓/12樓,"10,808",0
台北市信義區松勇路,16.5年,別墅/透天,建坪 191.31,主 + 陽119.17,4房3廳5衛,B2-3樓/3樓,"42,000",2
台北市信義區松勤街,27.3年,大樓,建坪 136.77,主 + 陽91.66,5房3廳4衛(含加蓋1廳),7-8樓/12樓,"19,988",2
台北市信義區基隆路二段,31.1年,辦公,建坪 34.08,主 + 陽17.35,3廳(含加蓋2廳),9樓/10樓,"2,998",1
台北市信義區吳興街,32.1年,華廈,建坪 36.39,主 + 陽31.62,3房2廳1.5衛,6樓/6樓,"3,688",0
台北市信義區忠孝東路五段,21.4年,大樓/套房,建坪 11.4,主 + 陽7.49,1房1廳1衛(含加蓋1房1衛),3樓/11樓,"1,880",0
台北市信義區松仁路,41.3年,公寓,建坪 39.06,主 + 陽37.93,4房2廳2衛,4樓/5樓,"2,788",0
台北市信義區松智路,25.4年,大樓,建坪 173.94,主 + 陽116.99,7房3廳6衛,11-12樓/12樓,"17,288",2
台北市信義區富陽街,50.1年,公寓,建坪 35.23,主 + 陽35.23,4房4廳3衛(含加蓋2房2廳1衛),4樓/4樓,"2,998",0
台北市信義區松山路,40.7年,大樓,建坪 24.21,主 + 陽19.1,3房2廳1衛4室(含加蓋2房2室),13樓/14樓,"2,880",0
