路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區安西街,42.5年,華廈,建坪 21.47,主 + 陽17.91,2房2廳2衛,5樓/9樓,"2,288",0
台北市大同區哈密街,46.5年,公寓,建坪 19.36,主 + 陽19.36,3房2廳1衛,4樓/5樓,"1,198",0
台北市大同區西寧北路,40.9年,華廈,建坪 36.7,主 + 陽35.06,3房2廳2衛,2樓/7樓,"2,880",0
台北市大同區太原路,13.0年,大樓,建坪 27.09,主 + 陽17.59,1房1廳1衛,8樓/12樓,"3,198",0
台北市大同區重慶北路三段,48.3年,公寓,建坪 17.39,主 + 陽17.38,2房2廳1衛(含加蓋1房),4樓/5樓,"1,338",0
台北市大同區南京西路,7.0年,大樓,建坪 24.59,主 + 陽13.61,1房1廳1衛,13樓/19樓,"3,480",1
台北市大同區長安西路,53.6年,華廈,建坪 44.52,主建物44.52,5房4廳4衛,4樓/8樓,"4,788",0
台北市大同區西寧北路,2.8年,店面,建坪 45.03,主 + 陽18.54,1廳1衛,1樓/5樓,"7,610",0
台北市大同區太原路,52.4年,公寓,建坪 17.4,主建物17.4,2房2廳1衛(含加蓋1衛),2樓/4樓,"2,188",0
台北市大同區哈密街,55.2年,公寓,建坪 26.51,主建物26.51,2房2廳2.5衛1室(含加蓋1.5衛1室),1樓/4樓,"2,888",0
台北市大同區天水路,28.6年,辦公/大樓,建坪 55.88,主 + 陽44.52,4房2廳3衛,6樓/11樓,"4,988",0
台北市大同區哈密街,46.2年,公寓,建坪 43.16,主 + 陽43.16,4房2廳1衛,3樓/5樓,"2,098",0
台北市大同區迪化街二段,41.1年,華廈,建坪 61.75,主 + 陽44.69,4房2廳2衛,6樓/7樓,"4,300",1
台北市大同區民權西路,6.7年,大樓,建坪 90.63,主 + 陽55.2,4房2廳3衛,17樓/19樓,"8,600",2
台北市大同區承德路三段,28.1年,大樓,建坪 66.71,主 + 陽37.11,3房2廳2衛2室,3樓/11樓,"4,800",1
台北市大同區重慶北路二段,0.9年,大樓,建坪 44.5,主 + 陽22.85,3房2廳2衛,13樓/15樓,"4,670",1
台北市大同區民族西路,3.6年,店面,建坪 32.89,主建物15.9,1廳1衛,1樓/15樓,"3,600",1
台北市大同區民族西路,3.6年,店面,建坪 22.48,主建物15.9,1廳1衛,1樓/15樓,"3,380",0
