路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區忠孝東路二段,53.0年,辦公/大樓,建坪 38.06,主建物31.44,1廳3室,3樓/11樓,"4,910",0
台北市中正區和平西路二段,46.1年,華廈,建坪 61.89,主 + 陽61.88,6房3廳3衛(含加蓋1房),3樓/7樓,"4,580",0
台北市中正區漢口街一段,1.8年,大樓,建坪 39.32,主 + 陽16.73,2房2廳1衛1室,10樓/15樓,"4,498",1
台北市中正區新生南路一段,11.1年,大樓,建坪 116.46,主 + 陽61.96,2廳3衛,5樓/14樓,"18,800",1
台北市中正區和平西路一段,40.8年,大樓,建坪 42.38,主 + 陽35.84,2房2廳2衛,7樓/12樓,"4,371",0
台北市中正區博愛路,34.9年,辦公/大樓,建坪 42.58,主 + 陽33.57,1廳1衛,6樓/13樓,"4,980",0
台北市中正區廈門街,32.7年,華廈,建坪 58.78,主建物21.59,4房3廳4衛1室,B1-1樓/5樓,"4,488",1
台北市中正區信義路二段,7.7年,大樓/套房,建坪 13.48,主 + 陽8.52,1房1廳1衛,5樓/14樓,"2,380",0
台北市中正區同安街,4.3年,店面/辦公/大樓,建坪 31.7,主 + 陽15.27,2廳1衛1室(含加蓋1室),1樓/18樓,"3,880",1
台北市中正區和平西路二段,28.6年,大樓,建坪 14.83,主建物7.31,2房2廳1衛(含加蓋1房1廳),2樓/11樓,"1,560",0
台北市中正區杭州南路一段,13.8年,華廈,建坪 128.77,主 + 陽68.26,4房2廳3衛2室,2-3樓/7樓,"14,988",2
台北市中正區師大路,13.5年,店面/辦公/大樓,建坪 42.4,主 + 陽23.15,2廳2衛,1樓/14樓,"4,980",0
台北市中正區寧波西街,20.8年,大樓,建坪 25.23,主建物15.99,4房3廳2衛1室(含加蓋2房1廳1衛),11樓/11樓,"4,767",0
台北市中正區牯嶺街,4.4年,大樓,建坪 52.27,主 + 陽26.02,2房2廳2衛,13樓/14樓,"6,488",1
台北市中正區羅斯福路四段,58.7年,店面/辦公,建坪 18.61,主建物18.61,4廳2衛(含加蓋1廳1衛),1-3樓/3樓,"5,988",0
台北市中正區師大路,61.8年,透天,建坪 39.6,主建物39.6,5房4廳4衛1室(含加蓋1房1廳1衛1室),1-2樓/2樓,"7,980",0
台北市中正區南昌路二段,20.8年,大樓,建坪 28.09,主 + 陽18.57,2房1廳1衛,2樓/11樓,"3,100",1
台北市中正區重慶南路三段,17.3年,大樓,建坪 10.7,主 + 陽7.37,1房1廳1衛,10樓/12樓,"1,080",0
台北市中正區羅斯福路三段,39.7年,華廈,建坪 44.8,主 + 陽42.25,5房3廳3衛(含加蓋2房1廳1衛),6樓/6樓,"5,380",0
台北市中正區羅斯福路三段,0.3年,大樓,建坪 17.44,主 + 陽9.18,1房1廳1衛,13樓/14樓,"2,633",1
台北市中正區羅斯福路四段,20.2年,大樓,建坪 12.07,主 + 陽8.08,1房1廳2衛1室(含加蓋1房1衛1室),13樓/15樓,"1,799",0
台北市中正區新生南路一段,64.9年,店面/透天,建坪 95.65,主建物88.9,7房4廳2衛4室(含加蓋2房1廳4室),1-3樓/3樓,"24,000",0
台北市中正區羅斯福路四段,20.2年,大樓,建坪 15.17,主 + 陽10.16,2房2廳1衛1室(含加蓋2房1室),14樓/15樓,"2,300",0
台北市中正區南昌路一段,16.0年,店面/辦公/大樓,建坪 91.39,主 + 陽57.5,1廳2衛2室,2樓/18樓,"7,900",0
台北市中正區仁愛路二段,42.0年,華廈,建坪 57.56,主 + 陽38.02,4房2廳2衛(含加蓋1房1衛),5-6樓/6樓,"6,880",0
台北市中正區廈門街,42.3年,公寓,建坪 39.31,主 + 陽36.97,2房2廳2衛,5樓/5樓,"2,650",0
台北市中正區羅斯福路三段,40.4年,華廈,建坪 42.5,主 + 陽36.96,7房3廳3衛1室(含加蓋3房1廳1衛),6樓/6樓,"4,650",0
台北市中正區南昌路一段,16.9年,大樓,建坪 14.02,主建物9.12,1房1廳1衛,9樓/15樓,"2,350",0
台北市中正區中華路二段,51.6年,公寓,建坪 34.31,主 + 陽34.31,5房2廳1.5衛(含加蓋2房),4樓/4樓,"1,988",0
台北市中正區羅斯福路三段,0.3年,大樓,建坪 27.29,主 + 陽15.43,1房1廳2衛,13樓/14樓,"4,258",1
台北市中正區羅斯福路三段,30.7年,公寓,建坪 45.64,主 + 陽43.41,4房2廳2衛,2-3樓/5樓,"4,108",0
台北市中正區臨沂街,59.6年,公寓,建坪 41.15,主建物36.49,5房2廳4衛(含加蓋2房1廳2衛),4樓/4樓,"4,680",0
台北市中正區同安街,18.7年,華廈,建坪 69.37,主 + 陽30.87,3房2廳3衛,2-3樓/7樓,"4,800",2
