路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市內湖區瑞光路,40.8年,華廈,建坪 33.99,主 + 陽25.28,2房2廳1衛1室,7樓/7樓,"2,888",0
台北市內湖區新湖二路,12.1年,辦公,建坪 1014.59,主建物433.92,6廳12衛4室,1-6樓/6樓,"79,380",3
台北市內湖區內湖路三段,44.2年,公寓,建坪 25.14,主 + 陽24.46,6房1廳6衛(含加蓋2房1廳2衛),5樓/5樓,"1,768",0
台北市內湖區成功路二段,10.7年,店面,建坪 36.49,主建物17.51,1廳1衛,1樓/14樓,"6,000",1
台北市內湖區內湖路二段,43.3年,大樓,建坪 94.97,主 + 陽77.95,5房2廳3衛1室,10樓/12樓,"8,800",1
台北市內湖區康寧路一段,45.1年,公寓,建坪 47.81,主 + 陽42.41,8房2廳7衛1室(含加蓋2房1廳2衛1室),5樓/5樓,"2,488",0
台北市內湖區內湖路三段,8.9年,大樓,建坪 86.31,主 + 陽40.82,3房2廳2衛1室,7樓/19樓,"7,380",2
台北市內湖區星雲街,21.2年,大樓,建坪 74.46,主 + 陽38.7,4房2廳2衛,2樓/14樓,"7,480",2
台北市內湖區成功路五段,25.4年,大樓,建坪 84.02,主 + 陽44.74,3房2廳2衛1室,16-17樓/19樓,"6,888",2
台北市內湖區文湖街,8.2年,華廈,建坪 76.57,主 + 陽37.49,2廳2衛,1-2樓/10樓,"7,500",2
台北市內湖區成功路四段,39.7年,別墅/透天,建坪 117.39,主 + 陽63.17,5房3廳4衛,B2-4樓/4樓,"6,100",1
台北市內湖區新明路,49.6年,辦公,建坪 23.53,主 + 陽23.53,3房2廳1衛,2樓/4樓,"1,580",0
台北市內湖區行善路,7.7年,大樓,建坪 39,主 + 陽16.42,1房2廳1衛1室,12樓/14樓,"3,500",1
台北市內湖區內湖路一段,42.6年,公寓,建坪 30.91,主建物15.88,1房2廳1衛1室(含加蓋1室),1樓/5樓,"5,500",0
台北市內湖區麗山街,7.8年,大樓,建坪 88.6,主 + 陽41.37,3房2廳3衛,10樓/13樓,"8,800",1
台北市內湖區內湖路一段,40.5年,公寓,建坪 70.15,主建物31.86,5房4廳2衛2室(含加蓋1衛),B1-1樓/5樓,"3,800",0
台北市內湖區麗山街,44.1年,公寓,建坪 32.14,主 + 陽28.64,3房2廳2衛,2樓/5樓,"2,380",0
台北市內湖區瑞光路,27.4年,辦公,建坪 351.57,主建物173.92,1廳8室(含加蓋1室),9樓/9樓,"19,300",9
台北市內湖區內湖路三段,31.7年,公寓,建坪 19.33,主 + 陽16.6,2房2廳1衛,4樓/5樓,"1,480",0
台北市內湖區民權東路六段,28.3年,公寓,建坪 79.24,主 + 陽20.99,3房3廳1衛(含加蓋1廳),4樓/4樓,"3,388",2
台北市內湖區成功路四段,12.8年,大樓,建坪 99.66,主 + 陽39.93,4房2廳2衛1室(含加蓋1房1室),3樓/12樓,"6,680",3
台北市內湖區民權東路六段,19.4年,透天,建坪 116.08,主 + 陽73.58,6房1廳6衛(含加蓋1房1衛),1-4樓/4樓,"7,400",1
台北市內湖區民權東路六段,19.4年,透天,建坪 114.07,主 + 陽72.3,3房3廳3衛(含加蓋1廳),1-4樓/4樓,"7,400",1
台北市內湖區堤頂大道二段,25.3年,辦公,建坪 101.95,主建物50.72,1廳1室,9樓/10樓,"6,288",2
台北市內湖區江南街,44.1年,公寓,建坪 30.5,主 + 陽30.51,4房1廳4衛,3樓/5樓,"2,488",0
台北市內湖區文德路,47.3年,公寓,建坪 29.19,主 + 陽29.19,5房3廳2衛1室(含加蓋2房1廳1衛1室),4樓/4樓,"2,498",0
台北市內湖區民權東路六段,14.1年,華廈,建坪 131.54,主 + 陽64.24,4房3廳4衛1室(含加蓋2房1廳1衛),B2-4樓/4樓,"10,500",2
台北市內湖區民權東路六段,18.4年,透天,建坪 140.57,主 + 陽84.25,6房2廳4衛1室,1-4樓/4樓,"12,680",2
台北市內湖區內湖路一段,17.6年,辦公,建坪 366.05,主 + 陽178.16,9房1廳2衛(含加蓋1房),7樓/10樓,"28,000",10
台北市內湖區內湖路一段,21.0年,辦公,建坪 165.9,主建物76.18,1廳8室,10樓/10樓,"8,600",4
台北市內湖區康寧路三段,41.2年,公寓,建坪 45.63,主建物21.73,2房3廳2衛(含加蓋2房1廳2衛),1樓/5樓,"3,550",0
台北市內湖區行善路,0.4年,大樓,建坪 54.8,主 + 陽29.9,2房2廳2衛,7樓/15樓,"6,188",1
台北市內湖區內湖路一段,45.9年,公寓,建坪 31.13,主 + 陽31.14,5房1廳5衛,3樓/5樓,"2,680",0
台北市內湖區江南街,42.3年,公寓,建坪 37.77,主 + 陽33.62,5房5衛,5樓/5樓,"2,350",0
台北市內湖區基湖路,17.1年,辦公,建坪 118.13,主建物46.84,1廳1衛6室(含加蓋1衛1室),6樓/8樓,"7,988",3
台北市內湖區民權東路六段,18.7年,店面,建坪 216.88,主 + 陽113.44,2廳,1樓/12樓,"54,220",0
台北市內湖區民權東路六段,18.8年,別墅/透天,建坪 87.14,主 + 陽56.66,5房2廳5衛3室(含加蓋2室),1-4樓/4樓,"7,680",2
台北市內湖區新明路,14.3年,華廈,建坪 31.92,主 + 陽14.96,2房2廳1衛,5樓/7樓,"2,450",1
台北市內湖區文湖街,43.3年,公寓,建坪 28.9,主 + 陽25.1,3房1廳3衛1室,2樓/4樓,"2,168",0
台北市內湖區康樂街,39.6年,公寓,建坪 36.99,主建物29.27,3房2廳2衛1室,1樓/3樓,"2,680",0
台北市內湖區內湖路三段,44.2年,公寓/辦公,建坪 74.94,主建物38.96,3房2廳1衛,B1-1樓/5樓,"5,800",0
台北市內湖區民權東路六段,18.7年,店面,建坪 212.01,主 + 陽108.95,3廳,1樓/12樓,"53,000",0
台北市內湖區東湖路,28.3年,店面,建坪 112.69,主 + 陽54.45,1廳1衛1室,1樓/9樓,"15,200",0
台北市內湖區南京東路六段,17.0年,辦公,建坪 61.36,主建物28.88,1廳,9樓/9樓,"3,686",1
台北市內湖區港墘路,29.3年,店面,建坪 37.32,主 + 陽21.09,2房1廳1衛(含加蓋1房),1樓/16樓,"2,688",1
台北市內湖區內湖路三段,44.8年,公寓,建坪 40.91,主 + 陽40.92,5房2廳3衛(含加蓋1房1衛),5樓/5樓,"2,250",0
台北市內湖區文德路,43.2年,店面,建坪 24.85,主建物20.27,1房1廳1衛2室(含加蓋1室),1樓/5樓,"2,480",0
台北市內湖區瑞光路,27.7年,辦公,建坪 105.56,主建物55.66,1廳5室,3樓/10樓,"6,988",2
台北市內湖區大湖山莊街,36.6年,公寓,建坪 71.5,主 + 陽35.08,6房4廳3衛1室(含加蓋1房1廳1室),B1-2樓/4樓,"4,880",1
台北市內湖區民權東路六段,18.8年,透天,建坪 117.12,主 + 陽65.7,5房2廳3衛,1-4樓/4樓,"7,888",2
台北市內湖區南京東路六段,17.0年,辦公,建坪 60.44,主建物28.34,1廳,9樓/9樓,"3,620",1
台北市內湖區內湖路一段,41.4年,華廈,建坪 34.27,主 + 陽29.56,3房2廳2衛,7樓/7樓,"2,638",0
台北市內湖區康寧路三段,20.6年,大樓,建坪 67.08,主 + 陽33.2,3房2廳2衛,2樓/12樓,"6,080",1
台北市內湖區金湖路,27.8年,透天,建坪 70.88,主 + 陽55.57,5房4廳4衛3室(含加蓋1房1衛),1-4樓/4樓,"5,960",1
台北市內湖區江南街,42.1年,華廈,建坪 32.18,主 + 陽26.56,3房2廳2衛,5樓/7樓,"2,560",0
台北市內湖區內湖路一段,預售,大樓,建坪 35.27,主+附 15.92,2房2廳2衛,3樓/15樓,"3,350",1
台北市內湖區行善路,4.3年,大樓,建坪 40.8,主 + 陽20.13,2廳2衛,4樓/15樓,"4,508",1
台北市內湖區金湖路,26.6年,店面/華廈,建坪 49.76,主建物23.89,2廳1衛1室,1-2樓/10樓,"4,588",1
