路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區龍江路,38.3年,華廈,建坪 43.07,主 + 陽34.29,3房2廳2衛1室,4樓/7樓,"3,880",0
台北市中山區北安路,61.5年,店面,建坪 45.1,主建物41.29,2廳1衛1室(含加蓋1衛1室),1-2樓/2樓,"16,000",0
台北市中山區龍江路,43.5年,公寓,建坪 27.13,主 + 陽27.13,9房9衛(含加蓋4房4衛),5樓/5樓,"2,388",0
台北市中山區新生北路三段,39.1年,華廈,建坪 24.8,主 + 陽18.52,2房2廳1衛,5樓/8樓,"2,100",0
台北市中山區長春路,65.5年,店面,建坪 121.97,主建物116.78,4廳4衛2室,1-4樓/4樓,"22,900",0
台北市中山區龍江路,43.9年,華廈,建坪 57.3,主建物35.89,3房2廳2衛1室,B1-1樓/7樓,"5,398",0
台北市中山區長安東路一段,18.6年,大樓,建坪 105.82,主 + 陽63.8,5房4廳4衛1室,11-12樓/13樓,"9,588",1
台北市中山區復興北路,41.9年,華廈/辦公,建坪 59.14,主建物36.02,5房3廳3衛1室,B1-1樓/7樓,"6,600",1
台北市中山區樂群二路,11.0年,辦公/大樓,建坪 102.84,主 + 陽52.64,6房1廳1衛,7樓/11樓,"11,250",2
台北市中山區民族東路,22.4年,店面/辦公,建坪 57.87,主 + 陽24.65,2廳1衛,1樓/9樓,"4,980",2
台北市中山區北安路,21.1年,華廈,建坪 85.69,主 + 陽27.69,4房3廳3衛2室(含加蓋2房1廳1衛1室),1樓/10樓,"8,888",2
台北市中山區龍江路,42.4年,華廈,建坪 46.29,主 + 陽40.01,5房3廳3衛(含加蓋1房1廳1衛),7樓/7樓,"4,650",0
台北市中山區林森北路,58.5年,公寓,建坪 10.43,主建物10.43,2房1廳2衛(含加蓋1房1衛),4樓/4樓,"1,088",0
台北市中山區明水路,23.0年,大樓,建坪 186.93,主 + 陽87.91,5房2廳5衛1室(含加蓋1室),13-14樓/14樓,"19,000",1
台北市中山區南京東路一段,14.2年,華廈,建坪 27.96,主 + 陽13.09,2房2廳2衛(含加蓋1房1衛),3樓/9樓,"2,668",1
台北市中山區北安路,7.0年,大樓,建坪 156.34,主 + 陽65.43,2廳5衛,16樓/17樓,"23,725",4
台北市中山區明水路,29.8年,大樓,建坪 38.41,主 + 陽20.76,2房2廳1衛2室(含加蓋1室),5-6樓/16樓,"3,688",1
台北市中山區北安路,7.0年,大樓,建坪 156.79,主 + 陽65.62,2廳5衛,16樓/17樓,"23,822",4
台北市中山區建國北路三段,10.4年,大樓,建坪 33.63,主 + 陽16.26,1房2廳1衛(含加蓋1房),2樓/14樓,"3,380",1
台北市中山區吉林路,35.5年,店面,建坪 21.25,主 + 陽18.21,1廳1衛,1樓/5樓,"3,280",0
台北市中山區敬業一路,21.1年,華廈,建坪 25.57,主 + 陽14.26,3房2廳1衛(含加蓋1房),4樓/9樓,"2,980",1
台北市中山區敬業二路,22.3年,辦公,建坪 33.61,主 + 陽17.57,3房2廳2衛(含加蓋2房1衛),2樓/8樓,"3,688",1
台北市中山區林森北路,9.7年,華廈,建坪 18.29,主 + 陽7.68,3房1廳1衛(含加蓋2房),6樓/7樓,"1,736",1
台北市中山區錦州街,53.4年,華廈/辦公,建坪 35.32,主建物35.32,7房2廳6衛1室(含加蓋2房2廳1衛1室),6樓/6樓,"2,788",0
台北市中山區長安東路二段,18.1年,大樓,建坪 17.45,主 + 陽8.25,1房1廳1衛1室(含加蓋1房),9樓/13樓,"1,598",1
台北市中山區北安路,7.0年,大樓,建坪 156.34,主 + 陽65.43,4房2廳5衛,8樓/17樓,"22,880",4
台北市中山區敬業二路,18.2年,辦公,建坪 8.01,主建物4.9,1房1廳1衛(含加蓋1房),6樓/10樓,"1,068",0
台北市中山區建國北路三段,10.4年,大樓,建坪 26.65,主 + 陽16.13,2房2廳1衛(含加蓋1房),11樓/14樓,"2,998",0
台北市中山區建國北路二段,15.5年,大樓,建坪 59.7,主 + 陽29.05,4房2廳2衛,5樓/15樓,"5,500",1
台北市中山區松江路,43.0年,辦公/大樓,建坪 34.02,主 + 陽28.83,2房1廳1衛,10樓/12樓,"3,198",0
台北市中山區明水路,18.3年,辦公/大樓,建坪 25.5,主 + 陽13.24,1廳1衛,2樓/11樓,"2,930",1
台北市中山區建國北路一段,12.7年,大樓,建坪 62.62,主 + 陽26.99,2房2廳2衛2室(含加蓋2室),9樓/13樓,"5,988",3
台北市中山區明水路,31.8年,大樓,建坪 59.41,主 + 陽42.15,4房2廳3衛,9-10樓/14樓,"5,780",1
台北市中山區德惠街,44.1年,店面/辦公/大樓,建坪 26.48,主建物14.31,2廳1衛(含加蓋1廳),1樓/11樓,"2,980",0
台北市中山區長春路,11.8年,店面,建坪 79.95,主 + 陽26.36,1廳1衛,1樓/13樓,"9,500",1
台北市中山區長安東路一段,7.0年,華廈,建坪 72.05,主 + 陽31.19,4房2廳3衛,5樓/5樓,"6,688",1
台北市中山區錦州街,10.3年,辦公/大樓,建坪 19.46,主 + 陽11.94,2房1廳1衛(含加蓋1房),12樓/14樓,"2,200",0
台北市中山區林森北路,18.2年,套房,建坪 15.28,主 + 陽9.43,2房2廳1.5衛(含加蓋2房),2樓/7樓,"1,428",0
台北市中山區錦州街,10.2年,華廈,建坪 22.31,主 + 陽9.18,2房2廳1衛(含加蓋1房),2樓/9樓,"1,998",1
台北市中山區合江街,7.8年,大樓,建坪 31.83,主 + 陽9.38,2房2廳2衛(含加蓋2房1衛),5樓/11樓,"2,880",1
台北市中山區松江路,7.2年,大樓,建坪 92,主 + 陽45.01,4廳,11樓/12樓,"10,788",2
台北市中山區吉林路,15.7年,大樓,建坪 93.83,主 + 陽43.38,3房2廳2衛1室,12樓/13樓,"9,508",2
台北市中山區敬業一路,18.3年,店面/辦公,建坪 77.12,主 + 陽32.5,5房2廳2衛1室(含加蓋3房1廳),1樓/8樓,"15,800",1
台北市中山區農安街,16.7年,大樓/辦公,建坪 16.09,主 + 陽8.64,1房1廳1衛,10樓/14樓,"1,630",0
台北市中山區新生北路三段,35.5年,華廈/辦公,建坪 55.96,主 + 陽42.56,4房2廳2衛,7-8樓/10樓,"3,780",0
台北市中山區北安路,46.7年,店面,建坪 16.24,主建物12.03,2廳2衛(含加蓋1廳2衛),1樓/7樓,"4,388",0
