路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區經貿二路,12.0年,大樓,建坪 85.51,主 + 陽47,4房2廳2衛2室,4樓/18樓,"8,928",1
台北市南港區南港路二段,32.3年,大樓/店面,建坪 55.81,主建物30.95,4房2廳2衛,1樓/12樓,"5,500",1
台北市南港區福德街,27.8年,大樓,建坪 45.94,主 + 陽27.77,3房2廳2衛,11樓/18樓,"3,350",0
台北市南港區興中路,8.7年,大樓,建坪 71.37,主 + 陽30.79,3房2廳2衛,13樓/24樓,"5,850",2
台北市南港區經園街,18.0年,華廈,建坪 42.4,主 + 陽21.39,3房2廳2衛,10樓/10樓,"6,998",1
台北市南港區園區街,16.8年,大樓,建坪 30.81,主 + 陽16.17,2房2廳1衛,8樓/14樓,"3,298",1
台北市南港區園區街,17.5年,華廈,建坪 38.09,主 + 陽17.2,2房2廳1衛,7樓/10樓,"3,380",1
台北市南港區經貿二路,11.3年,大樓,建坪 189.94,主 + 陽105.3,4房2廳5衛,21樓/21樓,"19,800",4
台北市南港區興華路,28.5年,大樓,建坪 48.42,主 + 陽33.2,4房2廳2衛,8樓/18樓,"4,268",1
台北市南港區舊莊街一段,52.4年,公寓,建坪 31.35,主 + 陽31.36,3房2廳1衛,2樓/4樓,"1,580",0
台北市南港區經園街,18.0年,華廈,建坪 36.87,主 + 陽16.68,2房2廳1衛,9樓/10樓,"3,280",1
台北市南港區向陽路,15.0年,華廈,建坪 36.49,主 + 陽20.89,2房2廳2衛,3樓/7樓,"2,980",1
台北市南港區東新街,2.3年,店面,建坪 10.48,主建物5.26,1廳1衛,1樓/9樓,"2,300",0
台北市南港區重陽路,18.9年,華廈,建坪 55.54,主 + 陽30.67,3房2廳2衛,3樓/8樓,"4,500",1
台北市南港區經貿二路,16.4年,華廈,建坪 43.64,主 + 陽18.79,2房2廳1衛,4樓/7樓,"3,360",1
台北市南港區成福路,42.1年,公寓,建坪 28.33,主 + 陽28.33,3房2廳1衛,4樓/5樓,"2,150",0
台北市南港區經貿二路,11.3年,大樓,建坪 90.73,主 + 陽49.82,3房2廳2衛,3樓/21樓,"10,600",2
台北市南港區松河街,20.5年,華廈,建坪 36.01,主 + 陽23.68,3房2廳2衛,4樓/9樓,"2,988",0
台北市南港區成福路,42.7年,公寓,建坪 27.52,主 + 陽27.53,3房2廳1.5衛,2樓/5樓,"2,168",0
