物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
B6低總採光邊間套房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,43.3,206.0,880,0,1,1,1,1,0,8,7,7,1,0,0,1,0,0,121.526022056,25.0499982245
FZ3行天宮捷運成家大空間,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,56.2,228.0,2338,0,3,2,1,3,0,4,3,3,1,0,1,0,0,0,121.531272389,25.0593996742
D7中山國小｜方正套房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,49.0,43.0,980,0,1,1,1,1,0,11,6,6,1,0,0,1,0,0,121.525790338,25.0650879494
231松江花博電梯2房美妝宅,松江路,1,0,0,0,0,0,0,0,0,0,0,0,29.7,93.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0,121.532734988,25.0679515391
DZ6中山捷運精品採光美寓,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,36.8,116.0,2998,0,2,2,2,2,0,5,3,3,1,0,1,0,0,0,121.523932284,25.055800835
忠孝新生上城若水高樓景觀,市民大道三段,1,0,0,0,0,0,0,0,0,0,0,0,-1.6,181.0,2068,0,1,1,1,1,0,15,11,11,1,0,1,0,0,0,121.5312642,25.0461288664
HZ4松江路大空間黃金二樓,松江路,1,0,0,0,0,0,0,0,0,0,0,0,53.8,225.0,3888,0,4,2,2,4,0,5,2,2,1,0,1,0,0,0,121.531064393,25.0539891796
大直獨具匠心樓中樓住或辦,大直街,1,0,0,0,0,0,0,0,0,0,0,0,33.1,72.0,2988,0,2,2,2,2,0,5,1,1,1,0,1,0,0,0,121.548995138,25.0849655836
中山國小收租美寓,吉林路,1,0,0,0,0,0,0,0,0,0,0,0,57.7,99.0,2368,0,6,4,4,6,0,4,4,4,1,0,1,0,0,0,121.528684414,25.0670742831
南京復興面公園二房車,合江街,1,0,0,0,0,0,0,0,0,0,0,0,7.8,123.0,2980,1,2,2,1,2,0,11,3,3,1,0,1,0,0,0,121.539153227,25.0556737165
捷運中山國中錦州福邸,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,41.8,144.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0,121.540045979,25.0603062748
中山龍騰尊榮大戶,民權東路二段,1,0,0,0,0,0,0,0,0,0,0,0,13.1,186.0,11980,1,5,2,3,5,0,12,3,3,1,0,1,0,0,0,121.529315413,25.0623970568
首泰聖荷西大戶豪邸,堤頂大道二段,1,0,0,0,0,0,0,0,0,0,0,0,22.5,229.0,9688,1,5,2,3,5,0,11,4,4,1,0,1,0,0,0,121.563280377,25.0793974408
C8遠雄首府首購必買2房車,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,14.7,251.0,3288,1,2,1,1,2,0,13,10,10,1,0,1,0,0,0,121.525804836,25.0660490377
FZ3榮星花園｜雍華庭三房,龍江路,1,0,0,0,0,0,0,0,0,0,0,0,38.3,43.0,3880,0,3,2,2,3,0,7,4,4,1,0,1,0,0,0,121.542079205,25.0630380503
力麒縉紳高樓景觀豪宅,松江路,1,0,0,0,0,0,0,0,0,0,0,0,17.3,70.0,7398,1,4,2,2,4,0,14,13,13,1,0,1,0,0,0,121.530896793,25.0563348129
A6禾碩榮星高樓精裝小豪邸,五常街,1,0,0,0,0,0,0,0,0,0,0,0,10.2,113.0,2150,0,1,1,1,1,0,12,7,7,1,0,1,0,0,0,121.538458201,25.0643883085
條通低總價小資2房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,41.6,137.0,1198,0,2,1,1,2,0,5,1,1,1,0,1,0,0,0,121.527050978,25.0490177103
松江金棧美二房,松江路,1,0,0,0,0,0,0,0,0,0,0,0,29.7,157.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0,121.532734988,25.0679515391
DZ8中山明亮置產成家2房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,37.1,177.0,1288,0,2,1,1,2,0,7,2,2,1,0,1,0,0,0,121.526302403,25.0500934983
南京龍江三房新廈,南京東路三段,1,0,0,0,0,0,0,0,0,0,0,0,8.4,199.0,3380,0,3,2,2,3,0,10,4,4,1,0,1,0,0,0,121.538325484,25.0538296281
近中山國中站電梯美妝三房,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,41.8,219.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0,121.540045979,25.0603062748
HZ5長安琚｜景觀大戶四房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,0.8,238.0,7860,1,4,2,2,4,0,9,9,9,1,0,1,0,0,0,121.527692695,25.0478680505
HZ5長安琚｜景觀大戶三房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,0.8,72.0,6550,1,3,2,2,3,0,9,9,9,1,0,1,0,0,0,121.52764502,25.0478715786
DZ6雙連捷運低總成家美兩房,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,48.5,95.0,1700,0,2,1,1,2,0,11,8,8,1,0,1,0,0,0,121.524454344,25.0575651084
FZ4中山國中｜福邸美廈,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,41.8,160.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0,121.540045979,25.0603062748
C29基泰高樓露台面圓山,農安街,1,0,0,0,0,0,0,0,0,0,0,0,16.8,229.0,3300,1,1,1,1,1,0,14,14,14,1,0,1,0,0,0,121.52327436,25.0648445559
CZ3伊通苑｜複合式三房,伊通街,1,0,0,0,0,0,0,0,0,0,0,0,7.9,141.0,3480,1,3,1,1,3,0,9,3,3,1,0,1,0,0,0,121.534796096,25.0480033487
三輝白宮典雅豪邸,復興北路,1,0,0,0,0,0,0,0,0,0,0,0,13.1,164.0,7880,1,4,2,2,4,0,14,4,4,1,0,1,0,0,0,121.544033776,25.0632220739
D2南京復興無障礙陽光宅,民生東路三段,1,0,0,0,0,0,0,0,0,0,0,0,40.0,185.0,2988,1,2,2,1,2,0,13,2,2,1,0,1,0,0,0,121.542569713,25.0565565108
中山國小美三房,雙城街,1,0,0,0,0,0,0,0,0,0,0,0,57.9,220.0,1688,0,3,2,1,3,0,4,4,4,1,0,1,0,0,0,121.523457831,25.0645648257
E4松江御苑經典美邸,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,3.5,44.0,8200,1,3,2,2,3,0,15,4,4,1,0,1,0,0,0,121.53536,25.061097
E4松江御苑樹梢美邸,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,3.5,44.0,8200,1,3,2,2,3,0,15,4,4,1,0,1,0,0,0,121.535609,25.061092
F7中山國小電梯獨戶三房,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,43.3,80.0,4400,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0,121.527934739,25.0609340088
五常國中校園美景公寓2樓,復興北路,1,0,0,0,0,0,0,0,0,0,0,0,42.4,102.0,3060,0,3,2,2,3,0,5,2,2,1,1,0,0,0,0,121.543271414,25.0652147899
