物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
gTB10509,虎林街原味屋鼎佳,信義區虎林街,6房(室)1廳3衛,235坪,4-5/25樓,228年,住宅,223萬
gZB06861,挹翠甫園方正大套房,信義區吳興街,1房(室)1廳1衛,255坪,B1/7樓,251年,住商,246萬
gOB20029,忠孝101．信義芯場美學宅,信義區忠孝東路五段,開放式,23坪,3/13樓,36年,住宅,26萬
gXB08241,信義區三角邊間一樓住辦,信義區富陽街,3房(室)2廳1衛,61坪,1/4樓,67年,住宅,58萬
gZB06547,六張捷運收租九套房,信義區富陽街,9房(室)--廳9衛,97坪,7/7樓,90年,住宅,84萬
gTB11322,豪宅阿亮~寶徠花園極品高樓,信義區信義路五段,3房(室)2廳4衛,124坪,21/27樓,118年,住宅,111萬
gQB03266,吳興街孝親靜巷一樓五房,信義區吳興街,5房(室)2廳4衛,148坪,1-B1/5樓,143年,住商,135萬
gTB11073,101捷運獨棟電梯鼎家,信義區吳興街,5房(室)--廳5衛,166坪,7-8/7樓,162年,住宅,158萬
gWB01200,信義香榭優質２房＋車位,信義區信義路五段,2房(室)2廳1衛,185坪,8/19樓,181年,住宅,176萬
gWB01169,北醫世貿住辦4、5樓,信義區莊敬路,10房(室)4廳4衛,206坪,4-5/7樓,162年,住商,197萬
gOB19859,信義香榭美緻兩房,信義區信義路五段,2房(室)2廳1衛,222坪,4/19樓,181年,住宅,217萬
gOB20656,稀有五分埔金店,信義區松山路,--房(室)1廳1衛,242坪,1/5樓,237年,住宅,233萬
gWB01168,北醫世貿住辦2、3樓,信義區莊敬路,--房(室)--廳--衛,42坪,2-3/7樓,35年,辦公,26萬
gZB06942,獨家信義區透天土地,信義區崇德街,無隔間,58坪,1/1樓,63年,住宅,56萬
